overall_qual,c_total_area,garage_area,c_tot_exter,c_total_bath,year_built,c_tot_bsmt,c_ord_garage_finish,c_ord_fireplace_qu,mas_vnr_area,c_ord_heating_qc,neighborhood_NridgHt,bsmtfin_sf_1,c_total_porch_area,saleprice
7,2679.0,380.0,7,2.0,2004,8,1,0,50.0,5,0.0,0.0,40,137500
7,3232.0,834.0,7,2.0,2005,10,2,0,228.0,5,0.0,0.0,267,232000
6,1536.0,440.0,8,1.0,1930,7,1,0,0.0,3,0.0,0.0,84,93850
5,1744.0,322.0,6,1.0,1924,7,1,4,65.0,2,0.0,0.0,116,105000
4,1040.0,240.0,6,1.0,1927,7,1,0,0.0,2,0.0,0.0,136,68500
5,3379.0,480.0,6,2.0,1960,7,1,0,361.0,3,0.0,443.0,0,154300
5,2537.0,0.0,8,2.0,1925,5,0,0,0.0,5,0.0,0.0,176,129850
5,1848.0,480.0,6,1.0,1910,7,1,0,0.0,5,0.0,168.0,423,114000
9,4450.0,1166.0,8,3.0,2008,9,3,4,748.0,5,0.0,1904.0,60,501837
5,2292.0,720.0,6,2.0,1915,8,1,4,0.0,4,0.0,0.0,612,153900
4,1728.0,576.0,7,1.0,1971,7,1,0,0.0,4,0.0,240.0,200,130000
6,2378.0,392.0,6,3.0,1997,9,2,0,197.0,5,0.0,864.0,122,160500
9,3332.0,575.0,8,3.0,2006,10,2,4,572.0,5,1.0,415.0,303,310090
5,1856.0,252.0,6,1.0,1956,8,1,0,0.0,3,0.0,377.0,417,132000
5,2624.0,502.0,6,3.0,1969,9,2,2,128.0,3,0.0,553.0,323,163000
7,1800.0,480.0,7,3.0,2004,10,2,0,120.0,5,0.0,280.0,172,155000
6,2854.0,516.0,6,3.0,1969,9,2,0,0.0,4,0.0,828.0,216,183000
7,2852.0,608.0,7,4.0,1996,9,2,3,254.0,5,0.0,762.0,257,211000
7,2294.0,495.0,7,4.0,1994,8,2,0,0.0,5,0.0,36.0,172,184000
5,1535.0,400.0,6,2.0,1979,0,1,0,0.0,3,0.0,0.0,0,118858
5,2304.0,484.0,6,2.0,1964,9,2,4,86.0,3,0.0,1014.0,227,180500
8,2292.0,484.0,7,3.0,2006,8,3,0,30.0,5,0.0,60.0,60,166000
6,2276.0,480.0,6,2.0,1960,9,2,3,54.0,5,0.0,588.0,140,148000
5,1968.0,396.0,6,1.0,1956,7,1,4,0.0,4,0.0,438.0,72,124000
9,3122.0,556.0,8,3.0,2005,9,3,4,246.0,5,1.0,1153.0,250,277500
8,4068.0,725.0,7,3.0,1995,8,2,5,397.0,5,0.0,527.0,644,350000
9,3768.0,670.0,8,3.0,2004,12,3,4,296.0,5,0.0,1337.0,290,387000
4,1133.0,0.0,6,2.0,1920,8,0,0,0.0,5,0.0,348.0,144,86000
8,3097.0,550.0,10,4.0,1976,11,2,4,0.0,5,0.0,1044.0,370,290000
3,1042.0,0.0,5,1.0,1900,6,0,0,0.0,3,0.0,0.0,130,44000
6,2765.0,560.0,6,4.0,2001,9,3,3,0.0,5,0.0,690.0,317,215000
5,2346.0,501.0,6,3.0,1972,8,3,0,144.0,5,0.0,962.0,293,146500
7,2055.0,490.0,7,4.0,2000,8,1,0,0.0,5,0.0,641.0,203,165000
6,3240.0,216.0,7,2.0,1916,7,1,4,0.0,3,0.0,168.0,103,136000
6,3095.0,550.0,6,3.0,1957,11,1,4,902.0,5,0.0,1110.0,189,252000
7,2390.0,474.0,7,3.0,2003,8,2,0,106.0,5,1.0,0.0,27,175500
5,2248.0,400.0,6,2.0,1939,7,1,4,0.0,3,0.0,421.0,218,150000
5,2400.0,286.0,6,1.0,1960,7,2,3,0.0,3,0.0,0.0,36,139900
5,2651.0,360.0,6,2.0,1930,7,1,4,0.0,3,0.0,0.0,0,162900
6,2232.0,440.0,6,2.0,1962,7,1,0,261.0,3,0.0,0.0,385,160000
2,660.0,0.0,6,1.0,1947,0,0,0,0.0,2,0.0,0.0,100,63900
6,2847.0,479.0,6,2.0,1978,7,3,3,144.0,4,0.0,832.0,0,184000
5,2932.0,528.0,6,2.0,1959,7,3,4,132.0,3,0.0,176.0,240,149900
9,3252.0,495.0,7,3.0,2000,10,3,3,260.0,5,0.0,1027.0,298,300000
5,2709.0,626.0,6,3.0,1960,8,1,3,275.0,4,0.0,988.0,134,145000
6,2692.0,470.0,6,4.0,1997,8,2,0,0.0,5,0.0,821.0,375,231500
5,1992.0,0.0,6,2.0,1940,7,0,4,0.0,5,0.0,290.0,144,108000
5,2404.0,304.0,6,2.0,1956,7,2,0,0.0,3,0.0,435.0,155,120000
5,1976.0,572.0,6,2.0,1961,7,1,0,57.0,3,0.0,827.0,0,128500
5,2036.0,360.0,6,1.0,1927,7,1,4,0.0,4,0.0,0.0,130,115000
5,2004.0,240.0,6,2.0,1947,7,1,0,0.0,3,0.0,312.0,35,110000
9,3938.0,864.0,8,4.0,1977,8,2,4,1050.0,3,0.0,410.0,226,150000
8,2121.0,403.0,7,3.0,2004,12,3,4,0.0,5,0.0,0.0,135,178000
7,2246.0,579.0,6,2.0,1932,7,1,4,0.0,5,0.0,0.0,104,199500
6,2338.0,400.0,6,4.0,1997,7,3,3,0.0,5,0.0,700.0,493,183500
5,2280.0,288.0,5,2.0,1967,9,1,1,0.0,5,0.0,257.0,280,126000
7,2110.0,440.0,6,2.0,1977,8,1,0,0.0,2,0.0,378.0,38,148500
5,2028.0,720.0,7,3.0,1939,7,1,0,0.0,5,0.0,0.0,315,149000
6,2311.0,440.0,6,3.0,1977,8,1,3,0.0,3,0.0,389.0,28,137900
8,3438.0,473.0,7,4.0,1993,11,3,4,0.0,5,0.0,1619.0,152,324000
5,1728.0,0.0,6,2.0,1925,7,0,0,0.0,3,0.0,468.0,96,98000
6,1470.0,264.0,6,3.0,1973,7,1,0,359.0,3,0.0,458.0,52,103400
5,1800.0,0.0,7,1.0,1875,7,0,0,0.0,4,0.0,0.0,176,94000
8,3108.0,627.0,7,2.0,2006,10,2,4,108.0,5,1.0,24.0,229,209500
10,4918.0,758.0,8,4.0,2006,12,3,5,662.0,5,0.0,0.0,238,545224
6,2340.0,0.0,8,2.0,1912,7,0,0,0.0,5,0.0,0.0,512,159900
4,1728.0,400.0,6,1.0,1951,7,1,0,0.0,5,0.0,120.0,0,141000
6,2871.0,431.0,6,3.0,2000,8,3,3,0.0,5,0.0,732.0,0,215000
5,2080.0,260.0,7,3.0,1962,7,1,0,0.0,5,0.0,659.0,104,127000
5,2344.0,366.0,6,2.0,1954,9,3,0,0.0,3,0.0,954.0,240,128000
8,3060.0,852.0,7,3.0,2010,7,2,4,0.0,5,0.0,1032.0,576,267916
6,2251.0,560.0,6,1.0,1931,6,1,4,0.0,3,0.0,425.0,120,127500
7,1922.0,672.0,7,3.0,2003,0,2,5,500.0,5,0.0,0.0,177,198500
6,2844.0,576.0,7,2.0,1981,8,3,3,210.0,3,0.0,588.0,276,175500
7,2827.0,486.0,7,4.0,2000,8,3,3,144.0,5,0.0,841.0,289,217500
4,2850.0,572.0,5,2.0,1915,7,1,3,0.0,5,0.0,0.0,524,149500
5,1984.0,656.0,7,2.0,1966,7,2,3,165.0,5,0.0,644.0,162,148800
9,4860.0,716.0,7,4.0,2005,11,3,4,208.0,5,0.0,240.0,322,556581
6,2956.0,442.0,6,3.0,1957,7,2,4,0.0,4,0.0,189.0,330,156500
7,2925.0,610.0,8,4.0,1995,11,2,3,0.0,5,0.0,685.0,445,237000
5,1824.0,297.0,6,2.0,1958,7,3,0,0.0,2,0.0,111.0,297,120000
6,2652.0,388.0,6,3.0,2005,10,3,0,0.0,5,0.0,918.0,143,203000
8,2395.0,461.0,6,2.0,1987,8,2,0,0.0,3,0.0,0.0,190,130000
6,2391.0,442.0,6,3.0,1964,10,2,0,360.0,3,0.0,674.0,645,167900
4,1920.0,576.0,6,2.0,1970,9,1,0,160.0,3,0.0,789.0,288,129000
5,2306.0,447.0,6,2.0,1957,7,1,2,64.0,3,0.0,360.0,0,134450
5,2232.0,576.0,7,2.0,1918,7,1,0,0.0,5,0.0,0.0,112,112000
7,2802.0,619.0,7,4.0,1988,8,2,3,360.0,5,0.0,608.0,300,207000
5,3168.0,0.0,6,2.0,1922,6,0,0,0.0,3,0.0,0.0,56,62500
7,2390.0,474.0,7,4.0,2003,8,2,0,106.0,5,1.0,573.0,27,154000
5,1632.0,308.0,6,2.0,1957,7,1,0,0.0,3,0.0,708.0,0,129900
5,1648.0,336.0,6,2.0,1976,8,1,0,0.0,3,0.0,129.0,182,85000
7,1683.0,288.0,6,1.0,1926,7,1,4,0.0,3,0.0,0.0,176,116900
6,2296.0,440.0,6,3.0,1978,7,1,3,0.0,3,0.0,311.0,28,148500
4,1596.0,280.0,5,2.0,1941,8,1,0,0.0,2,0.0,348.0,0,80000
5,2186.0,506.0,6,2.0,1984,10,1,0,0.0,3,0.0,104.0,178,152000
5,1373.0,319.0,7,1.0,1954,6,1,0,0.0,5,0.0,0.0,116,155891
6,2144.0,576.0,7,1.0,1920,7,1,0,0.0,5,0.0,0.0,198,165000
7,2436.0,676.0,7,2.0,2009,8,2,0,0.0,5,0.0,0.0,136,204500
5,2372.0,312.0,6,2.0,1942,7,1,4,224.0,5,0.0,386.0,168,146500
7,2872.0,478.0,6,2.0,1978,8,2,3,206.0,3,0.0,704.0,0,157000
7,3808.0,342.0,6,2.0,1890,8,1,4,0.0,4,0.0,0.0,299,184000
6,2292.0,393.0,7,4.0,2002,8,3,4,0.0,5,0.0,457.0,175,183200
5,2184.0,288.0,6,2.0,1962,7,1,1,116.0,3,0.0,170.0,164,139000
7,3729.0,983.0,7,4.0,1993,11,2,3,651.0,5,0.0,1173.0,620,341000
6,1470.0,264.0,6,2.0,1971,7,1,0,504.0,3,0.0,156.0,275,96000
4,2242.0,440.0,6,2.0,2003,8,2,0,0.0,5,0.0,0.0,196,140000
6,2148.0,923.0,6,2.0,1957,7,1,0,0.0,3,0.0,600.0,316,149700
5,2130.0,495.0,6,3.0,1975,8,2,0,0.0,5,0.0,788.0,88,153500
1,733.0,487.0,3,1.0,1952,0,1,0,0.0,1,0.0,0.0,0,13100
7,2652.0,543.0,7,4.0,2003,8,2,0,252.0,5,0.0,550.0,63,224900
7,2523.0,453.0,7,2.0,2005,8,1,3,0.0,5,0.0,0.0,182,176000
8,4555.0,541.0,7,3.0,1992,8,3,3,337.0,5,0.0,700.0,33,285000
8,2949.0,754.0,7,3.0,2007,11,1,0,84.0,5,0.0,929.0,328,282922
7,3081.0,487.0,6,3.0,1966,7,3,4,309.0,5,0.0,445.0,171,226000
8,3810.0,666.0,8,3.0,2006,10,3,4,466.0,5,0.0,0.0,424,361919
9,4196.0,670.0,9,5.0,2005,12,3,4,600.0,5,0.0,1218.0,219,457347
8,2709.0,529.0,7,3.0,1976,12,3,2,0.0,5,0.0,51.0,646,279000
6,3134.0,714.0,6,3.0,1977,10,2,3,0.0,3,0.0,1567.0,296,196000
7,2460.0,479.0,6,2.0,1976,8,2,3,189.0,3,0.0,0.0,0,152000
5,3882.0,968.0,6,6.0,1969,7,1,0,368.0,3,0.0,500.0,0,200000
8,3160.0,754.0,7,4.0,2005,12,3,0,198.0,5,0.0,1122.0,256,294900
7,2900.0,788.0,7,2.0,2008,8,2,0,140.0,5,0.0,0.0,93,224243
6,2170.0,528.0,5,2.0,1915,5,1,0,0.0,3,0.0,0.0,208,92000
7,2184.0,400.0,7,3.0,2007,10,3,4,0.0,5,0.0,0.0,124,179540
10,4784.0,968.0,8,2.0,2003,12,3,5,922.0,5,1.0,56.0,353,386250
4,1522.0,297.0,6,2.0,1970,10,3,0,0.0,3,0.0,503.0,209,106500
10,3024.0,812.0,8,4.0,2008,11,3,5,160.0,5,0.0,765.0,220,310000
7,3451.0,600.0,7,3.0,1998,8,3,3,275.0,5,0.0,0.0,158,252000
7,2564.0,240.0,7,2.0,1941,7,1,4,0.0,4,0.0,364.0,126,164000
7,2184.0,400.0,7,3.0,2007,8,3,0,16.0,5,0.0,0.0,124,177594
5,1568.0,624.0,6,1.0,1936,6,3,0,0.0,4,0.0,276.0,338,123900
6,3994.0,864.0,6,4.0,1918,8,1,4,0.0,3,0.0,1128.0,0,239000
5,2332.0,528.0,6,2.0,1965,7,1,3,0.0,3,0.0,42.0,0,169000
7,2931.0,420.0,7,2.0,2003,11,3,3,18.0,5,0.0,0.0,163,234000
6,2244.0,541.0,6,3.0,1977,10,2,2,0.0,3,0.0,841.0,461,173000
6,2008.0,480.0,6,2.0,1970,7,3,3,180.0,5,0.0,578.0,0,149000
7,2324.0,483.0,7,2.0,2007,9,3,0,0.0,5,0.0,0.0,32,170000
5,1920.0,300.0,7,2.0,1963,7,3,0,0.0,5,0.0,634.0,168,144900
5,2392.0,336.0,6,2.0,1968,11,2,0,0.0,3,0.0,1070.0,425,144000
8,2525.0,430.0,7,2.0,2004,8,3,3,16.0,5,0.0,24.0,310,192000
5,2062.0,230.0,7,2.0,1952,7,1,0,0.0,4,0.0,931.0,0,145500
4,1168.0,280.0,7,1.0,1900,5,1,0,0.0,5,0.0,0.0,70,86900
6,3010.0,505.0,6,2.0,1953,7,2,3,90.0,5,0.0,1024.0,162,149500
5,1874.0,240.0,7,1.0,1938,5,1,4,0.0,5,0.0,0.0,0,119750
6,2250.0,564.0,6,3.0,2005,8,2,0,0.0,5,0.0,0.0,35,173900
5,2100.0,368.0,6,2.0,1961,7,1,0,0.0,3,0.0,915.0,319,136500
8,4749.0,618.0,7,3.0,1994,8,3,0,0.0,5,0.0,0.0,180,270000
6,2854.0,564.0,6,2.0,1960,11,2,4,0.0,4,0.0,429.0,409,235000
7,1814.0,400.0,6,3.0,1999,8,2,3,0.0,5,0.0,0.0,0,156000
5,2228.0,576.0,6,3.0,2003,8,1,0,0.0,5,0.0,836.0,42,153000
6,2448.0,402.0,6,3.0,1999,9,3,0,425.0,5,0.0,883.0,304,165000
9,3626.0,656.0,7,3.0,2005,9,3,4,245.0,5,0.0,0.0,183,325000
5,2083.0,528.0,6,2.0,1941,6,1,0,0.0,5,0.0,533.0,144,140000
6,3035.0,658.0,6,3.0,1963,7,1,4,234.0,2,0.0,375.0,110,202500
9,3404.0,1052.0,8,3.0,2008,9,3,4,766.0,5,1.0,1540.0,296,367294
6,2970.0,600.0,7,3.0,1988,10,2,2,219.0,5,0.0,783.0,224,175000
7,2473.0,642.0,6,2.0,1915,8,1,4,0.0,4,0.0,216.0,307,140000
7,2505.0,528.0,6,3.0,1985,8,1,0,0.0,4,0.0,215.0,232,174000
7,2022.0,400.0,7,3.0,2005,11,3,0,182.0,5,0.0,655.0,212,190000
5,1968.0,0.0,7,2.0,1910,7,0,0,0.0,5,0.0,0.0,176,129000
6,3244.0,510.0,7,3.0,1959,8,2,4,136.0,4,0.0,1386.0,201,200000
6,3038.0,509.0,7,3.0,1968,8,3,4,576.0,3,0.0,448.0,324,193500
6,2184.0,504.0,6,2.0,1964,8,2,0,260.0,5,0.0,787.0,0,145000
7,2693.0,451.0,8,2.0,1929,7,1,4,270.0,5,0.0,526.0,0,218000
5,1488.0,569.0,6,1.0,1952,0,2,5,232.0,4,0.0,0.0,573,135000
5,3068.0,240.0,7,2.0,1952,8,2,4,150.0,5,0.0,40.0,364,146500
6,2724.0,460.0,7,2.0,2005,10,2,4,256.0,5,1.0,20.0,220,194700
7,2436.0,462.0,7,3.0,2007,8,3,0,210.0,5,0.0,902.0,336,230348
6,2192.0,288.0,6,2.0,1923,5,1,4,0.0,3,0.0,960.0,128,109500
6,3250.0,576.0,6,3.0,1979,11,3,3,0.0,3,0.0,776.0,164,242500
7,2831.0,504.0,8,3.0,1987,9,2,3,0.0,4,0.0,495.0,476,239000
6,2100.0,286.0,7,2.0,1954,7,2,0,176.0,5,0.0,824.0,0,156000
4,1814.0,352.0,6,1.0,1957,7,1,0,0.0,5,0.0,288.0,0,109008
2,845.0,256.0,6,1.0,1939,0,1,0,0.0,5,0.0,0.0,48,68104
8,3743.0,751.0,7,3.0,1995,10,2,3,466.0,5,0.0,0.0,279,290000
5,2418.0,504.0,6,2.0,1966,8,2,0,0.0,4,0.0,1059.0,120,159000
4,1254.0,231.0,6,1.0,1937,7,1,0,0.0,3,0.0,120.0,0,87000
8,3182.0,670.0,7,3.0,2001,10,2,3,479.0,5,0.0,1358.0,180,272000
7,2672.0,502.0,7,3.0,2005,9,1,0,0.0,5,0.0,996.0,179,198000
4,2457.0,440.0,7,2.0,1940,7,1,0,0.0,4,0.0,0.0,187,119164
5,1124.0,0.0,6,1.0,1954,0,0,4,0.0,4,0.0,0.0,226,93000
7,2874.0,431.0,7,3.0,2000,10,2,3,647.0,5,0.0,544.0,108,226750
3,2677.0,420.0,6,3.0,1900,7,1,0,0.0,3,0.0,440.0,74,95000
6,2196.0,312.0,6,2.0,1948,7,1,0,0.0,3,0.0,300.0,269,139900
3,2034.0,0.0,4,1.0,1940,7,0,0,0.0,5,0.0,0.0,263,76500
4,1344.0,308.0,7,1.0,1940,7,1,0,0.0,4,0.0,0.0,196,86900
5,2273.0,257.0,7,2.0,1968,7,1,0,0.0,5,0.0,785.0,81,152500
4,1841.0,286.0,6,1.0,1953,8,2,0,115.0,3,0.0,767.0,134,99000
4,1128.0,0.0,5,1.0,1940,7,0,0,0.0,4,0.0,280.0,164,82500
6,3150.0,529.0,7,3.0,1992,8,2,0,0.0,4,0.0,430.0,52,179200
5,2118.0,286.0,6,2.0,1966,7,3,0,0.0,4,0.0,773.0,88,142500
4,2010.0,440.0,6,2.0,1964,7,1,0,0.0,3,0.0,513.0,0,115400
7,2986.0,650.0,7,4.0,2001,8,3,3,0.0,5,0.0,738.0,235,226000
7,1800.0,480.0,7,3.0,2005,8,2,0,0.0,5,0.0,0.0,166,144152
8,4455.0,795.0,7,3.0,2003,12,3,4,221.0,5,1.0,0.0,326,370000
5,1666.0,495.0,6,2.0,1984,9,1,0,0.0,3,0.0,207.0,431,149900
6,2184.0,429.0,7,3.0,2006,8,2,0,0.0,4,0.0,0.0,0,172785
5,1728.0,720.0,6,2.0,1950,7,2,0,0.0,4,0.0,398.0,194,129000
6,2948.0,435.0,7,2.0,1979,7,1,3,0.0,3,0.0,0.0,192,181000
5,2428.0,300.0,6,2.0,1956,9,2,3,272.0,5,0.0,678.0,311,148000
7,2928.0,430.0,7,2.0,2005,10,3,3,16.0,5,0.0,16.0,163,192500
6,2272.0,452.0,7,4.0,1980,8,3,3,0.0,3,0.0,81.0,161,151000
5,1764.0,461.0,6,2.0,1972,7,1,0,0.0,3,0.0,138.0,96,112500
5,2082.0,495.0,5,1.0,1920,7,1,4,0.0,3,0.0,645.0,342,144000
9,3600.0,944.0,8,3.0,2007,9,2,4,714.0,5,1.0,1204.0,210,370967
6,2311.0,440.0,6,3.0,1975,7,1,3,0.0,3,0.0,514.0,173,149900
7,2491.0,493.0,7,3.0,2002,8,2,0,95.0,5,0.0,0.0,212,195000
7,1866.0,392.0,6,3.0,1992,8,3,3,170.0,4,0.0,0.0,125,163900
6,2712.0,552.0,6,2.0,1984,8,3,3,136.0,5,0.0,299.0,245,182000
9,4226.0,780.0,8,3.0,2008,12,3,5,246.0,5,0.0,1758.0,244,410000
5,3177.0,672.0,6,3.0,1991,8,1,0,0.0,3,0.0,55.0,0,152000
7,2577.0,462.0,7,3.0,2005,8,3,0,172.0,5,0.0,0.0,245,184000
7,2688.0,784.0,7,4.0,1997,12,3,0,200.0,5,0.0,1309.0,0,206300
5,3304.0,928.0,6,2.0,1970,7,1,0,0.0,3,0.0,149.0,0,146500
4,2169.0,263.0,6,1.0,1956,7,1,0,0.0,3,0.0,0.0,0,108000
7,2490.0,487.0,6,3.0,1968,7,2,3,143.0,4,0.0,0.0,98,170000
6,1696.0,420.0,7,2.0,2004,9,2,0,205.0,5,0.0,662.0,140,145000
7,2112.0,440.0,6,3.0,1975,8,2,2,0.0,3,0.0,435.0,27,123000
6,2582.0,431.0,6,2.0,1996,9,1,4,0.0,5,0.0,1003.0,307,173000
6,1344.0,484.0,7,1.0,1928,7,1,0,0.0,4,0.0,0.0,106,105900
4,1450.0,297.0,6,2.0,1973,11,1,0,0.0,3,0.0,462.0,221,91000
5,2590.0,295.0,6,3.0,1949,7,1,3,0.0,2,0.0,312.0,81,158000
7,2592.0,572.0,7,3.0,2004,8,2,0,0.0,5,0.0,0.0,243,190000
8,2469.0,477.0,7,3.0,1995,11,3,2,0.0,5,0.0,560.0,196,217500
5,3106.0,356.0,6,2.0,1958,7,3,0,162.0,4,0.0,330.0,0,165500
7,2268.0,234.0,6,2.0,1941,7,1,4,0.0,5,0.0,275.0,0,174500
4,1620.0,312.0,6,1.0,1954,11,1,0,0.0,4,0.0,0.0,0,100000
6,2658.0,312.0,6,2.0,1958,7,1,0,108.0,3,0.0,923.0,429,172000
5,1743.0,440.0,6,1.0,1975,7,1,0,0.0,3,0.0,330.0,80,120000
4,1562.0,294.0,4,1.0,1950,6,1,0,0.0,4,0.0,0.0,274,82000
6,2096.0,649.0,6,2.0,1947,7,1,0,0.0,5,0.0,0.0,28,127000
6,2793.0,396.0,6,2.0,1917,8,1,4,0.0,2,0.0,319.0,259,129500
